p,scaler,runtime,speedup
1,5.744,5.999,0.957492915
2,5.744,2.866,2.00418702
3,5.744,1.238,4.639741519
4,5.744,0.865,6.640462428
5,5.744,0.789,7.280101394
6,5.744,0.887,6.475760992
7,5.744,0.934,6.149892934
8,5.744,1.325,4.33509434
